timestamp,id,group,action
2016/9/24 17:42,804196,experiment,view
2016/9/24 19:19,434745,experiment,view
2016/9/24 19:36,507599,experiment,view
2016/9/24 19:59,671993,control,view
2016/9/24 20:26,536734,experiment,view
2016/9/24 20:32,681598,experiment,view
2016/9/24 20:39,522116,experiment,view
2016/9/24 20:57,349125,experiment,view
2016/9/24 20:58,349125,experiment,click
2016/9/24 21:00,560027,control,view
2016/9/24 21:00,265695,experiment,view
2016/9/24 21:05,601714,experiment,view
2016/9/24 21:06,601714,experiment,click
2016/9/24 21:09,416862,experiment,view
2016/9/24 21:29,487634,experiment,view
2016/9/24 21:30,487634,experiment,click
2016/9/24 23:01,468601,experiment,view
2016/9/24 23:01,468601,experiment,click
2016/9/24 23:08,293251,experiment,view
2016/9/24 23:50,515303,experiment,view
2016/9/25 00:00,555973,experiment,view
2016/9/25 00:01,555973,experiment,click
2016/9/25 00:06,756950,experiment,view
2016/9/25 00:25,281985,control,view
2016/9/25 01:14,407864,control,view
2016/9/25 02:16,342984,control,view
2016/9/25 02:41,716544,control,view
2016/9/25 02:52,398892,control,view
2016/9/25 02:53,398892,control,click
2016/9/25 03:28,444902,experiment,view
2016/9/25 03:29,444902,experiment,click
2016/9/25 03:50,769969,control,view
2016/9/25 03:50,462225,control,view
2016/9/25 03:51,710625,experiment,view
2016/9/25 03:53,667387,control,view
2016/9/25 04:14,588929,experiment,view
2016/9/25 05:18,544571,control,view
2016/9/25 05:19,544571,control,click
2016/9/25 05:21,824613,control,view
2016/9/25 05:42,269335,experiment,view
2016/9/25 05:44,269335,experiment,click
2016/9/25 05:47,199091,control,view
2016/9/25 06:02,694237,experiment,view
2016/9/25 06:36,685428,experiment,view
2016/9/25 06:59,596892,experiment,view
2016/9/25 07:00,596892,experiment,click
2016/9/25 07:23,653403,experiment,view
2016/9/25 07:24,653403,experiment,click
2016/9/25 07:49,408725,experiment,view
2016/9/25 08:07,731880,experiment,view
2016/9/25 08:10,922848,experiment,view
2016/9/25 08:11,922848,experiment,click
2016/9/25 08:12,547020,control,view
2016/9/25 08:22,283438,experiment,view
2016/9/25 08:23,283438,experiment,click
2016/9/25 08:24,194950,control,view
2016/9/25 08:25,194950,control,click
2016/9/25 09:43,894454,control,view
2016/9/25 09:45,894454,control,click
2016/9/25 10:08,762607,experiment,view
2016/9/25 10:08,370483,experiment,view
2016/9/25 10:09,370483,experiment,click
2016/9/25 10:37,639852,control,view
2016/9/25 10:38,639852,control,click
2016/9/25 10:41,826660,experiment,view
2016/9/25 10:42,826660,experiment,click
2016/9/25 11:21,381380,control,view
2016/9/25 11:21,381380,control,click
2016/9/25 11:28,192086,control,view
2016/9/25 12:21,910738,control,view
2016/9/25 12:22,910738,control,click
2016/9/25 12:23,737242,control,view
2016/9/25 13:10,631731,control,view
2016/9/25 13:11,208738,experiment,view
2016/9/25 14:32,284158,control,view
2016/9/25 14:42,246990,experiment,view
2016/9/25 14:43,246990,experiment,click
2016/9/25 14:56,832871,experiment,view
2016/9/25 14:56,832871,experiment,click
2016/9/25 15:39,931724,control,view
2016/9/25 16:31,461125,control,view
2016/9/25 16:31,461125,control,click
2016/9/25 17:14,694466,experiment,view
2016/9/25 17:44,605472,control,view
2016/9/25 17:56,394070,control,view
2016/9/25 18:50,368583,control,view
2016/9/25 18:51,368583,control,click
2016/9/25 19:22,828518,experiment,view
2016/9/25 19:56,561305,control,view
2016/9/25 20:04,833404,experiment,view
2016/9/25 20:06,808288,experiment,view
2016/9/25 20:12,714681,experiment,view
2016/9/25 20:51,456084,experiment,view
2016/9/25 20:56,593665,control,view
2016/9/25 21:04,752081,control,view
2016/9/25 22:12,692154,experiment,view
2016/9/25 23:14,262702,experiment,view
2016/9/25 23:58,816232,experiment,view
2016/9/26 00:10,489436,control,view
2016/9/26 00:16,712525,control,view
2016/9/26 01:01,697796,experiment,view
2016/9/26 01:03,850998,experiment,view
2016/9/26 01:17,839729,experiment,view
2016/9/26 01:18,839729,experiment,click
2016/9/26 01:39,398690,experiment,view
2016/9/26 02:38,808250,experiment,view
2016/9/26 02:51,631221,control,view
2016/9/26 03:06,659470,control,view
2016/9/26 03:09,332165,experiment,view
2016/9/26 03:10,332165,experiment,click
2016/9/26 03:16,591554,control,view
2016/9/26 03:18,855872,control,view
2016/9/26 03:18,855872,control,click
2016/9/26 03:49,828173,control,view
2016/9/26 03:54,810097,control,view
2016/9/26 03:59,419098,control,view
2016/9/26 04:04,691753,experiment,view
2016/9/26 04:04,691753,experiment,click
2016/9/26 05:04,830998,control,view
2016/9/26 05:10,226057,experiment,view
2016/9/26 05:11,226057,experiment,click
2016/9/26 05:25,417019,control,view
2016/9/26 05:26,417019,control,click
2016/9/26 05:49,321902,experiment,view
2016/9/26 06:13,857158,experiment,view
2016/9/26 06:27,900572,control,view
2016/9/26 06:44,852585,experiment,view
2016/9/26 06:44,852585,experiment,click
2016/9/26 07:45,333604,control,view
2016/9/26 08:05,482798,control,view
2016/9/26 08:07,482798,control,click
2016/9/26 08:35,771770,control,view
2016/9/26 08:35,200826,control,view
2016/9/26 09:08,805722,experiment,view
2016/9/26 09:23,366151,experiment,view
2016/9/26 09:24,366151,experiment,click
2016/9/26 09:31,769017,control,view
2016/9/26 09:32,769017,control,click
2016/9/26 09:49,294127,control,view
2016/9/26 10:46,308217,experiment,view
2016/9/26 11:09,195681,control,view
2016/9/26 11:29,734696,control,view
2016/9/26 11:36,835449,experiment,view
2016/9/26 11:37,835449,experiment,click
2016/9/26 12:35,217944,control,view
2016/9/26 13:36,889323,experiment,view
2016/9/26 13:41,365028,control,view
2016/9/26 13:42,365028,control,click
2016/9/26 13:55,324997,control,view
2016/9/26 14:55,924123,control,view
2016/9/26 15:18,371923,experiment,view
2016/9/26 15:47,662354,control,view
2016/9/26 15:48,570451,control,view
2016/9/26 15:57,358562,experiment,view
2016/9/26 16:13,480891,control,view
2016/9/26 16:14,480891,control,click
2016/9/26 17:09,234444,control,view
2016/9/26 17:10,234444,control,click
2016/9/26 17:24,792966,control,view
2016/9/26 17:25,792966,control,click
2016/9/26 17:47,426624,control,view
2016/9/26 18:02,550685,control,view
2016/9/26 18:02,550685,control,click
2016/9/26 19:10,184992,control,view
2016/9/26 19:11,184992,control,click
2016/9/26 20:16,408715,experiment,view
2016/9/26 20:17,802067,control,view
2016/9/26 20:17,408715,experiment,click
2016/9/26 20:20,713232,control,view
2016/9/26 20:25,703473,control,view
2016/9/26 20:39,766674,control,view
2016/9/26 20:40,766674,control,click
2016/9/26 21:22,208263,control,view
2016/9/26 22:12,535852,experiment,view
2016/9/26 22:27,730970,control,view
2016/9/26 22:38,436761,experiment,view
2016/9/26 22:41,489523,experiment,view
2016/9/26 22:42,489523,experiment,click
2016/9/26 23:03,707411,control,view
2016/9/26 23:03,707411,control,click
2016/9/27 00:07,393493,control,view
2016/9/27 00:15,555874,control,view
2016/9/27 01:18,413838,control,view
2016/9/27 01:28,787142,control,view
2016/9/27 01:40,504397,experiment,view
2016/9/27 02:05,859036,control,view
2016/9/27 02:33,489857,control,view
2016/9/27 02:37,676676,experiment,view
2016/9/27 02:43,304461,control,view
2016/9/27 02:44,304461,control,click
