timestamp,id,group,action,duration
14:52.0,261869,experiment,view,130.5450039
45:09.6,226546,experiment,view,159.8624401
16:21.0,286353,experiment,view,79.349315
43:06.9,842279,experiment,view,55.53612564
08:22.8,781883,experiment,view,204.3224368
14:52.0,261869,experiment,view,130.5450039
45:09.6,226546,experiment,view,159.8624401
16:21.0,286353,experiment,view,79.349315
43:06.9,842279,experiment,view,55.53612564
08:22.8,781883,experiment,enroll,204.3224368
18:15.9,266695,experiment,view,151.2354746
42:41.2,701620,control,view,302.9515522
43:35.1,701620,control,view,
21:10.6,321250,experiment,enroll,98.67858269
23:19.8,439910,control,view,61.23445799
26:06.3,328429,experiment,view,216.6490596
46:28.0,842231,control,view,124.8230649
52:35.6,733523,experiment,enroll,3.911521987
22:38.1,615902,experiment,enroll,175.8446678
30:27.5,498050,experiment,view,34.48208728
33:02.8,882775,control,view,326.0257651
47:56.1,203948,experiment,view,86.0880752
28:17.2,491935,control,view,121.3094991
44:54.3,340983,control,enroll,1.175226676
03:33.2,764885,control,enroll,88.6840834
42:10.5,582505,control,view,96.75867185
51:53.8,631215,control,view,95.6802902
54:36.0,824671,control,view,147.1560641
02:38.8,770405,control,view,123.1109727
08:04.0,936682,experiment,enroll,226.0521941
29:44.7,410087,control,view,176.3824285
16:35.1,731890,control,enroll,0.330291196
49:25.0,527582,experiment,view,161.2272355
34:32.3,295365,experiment,enroll,250.8996844
28:05.9,921337,experiment,view,85.85403895
19:20.8,349863,control,view,206.4296312
29:05.0,689869,control,view,48.0206718
38:09.3,405129,experiment,view,101.8188599
42:13.5,778366,control,view,162.6241456
17:31.7,229923,control,view,63.35128341
31:55.1,714400,control,view,219.0293285
45:13.8,329707,control,view,190.950843
43:30.3,564371,experiment,view,137.6879381
57:43.1,768278,control,enroll,212.2247314
11:56.4,769510,experiment,view,149.8298676
16:09.6,380467,experiment,view,113.5532677
59:04.6,894177,experiment,view,120.0989871
40:23.6,761650,experiment,enroll,119.0174883
13:12.4,381087,control,view,48.23726863
13:27.5,643555,experiment,view,30.61536092
37:35.4,214713,control,view,144.3753778
51:20.7,680052,experiment,view,303.2466484
19:46.1,499744,control,view,128.0505711
20:50.5,322141,control,enroll,33.74989321
28:32.2,843612,experiment,view,192.5590793
04:00.4,637143,experiment,enroll,106.7098553
02:39.5,206213,experiment,view,227.874021
10:29.0,570082,experiment,enroll,219.3535404
17:47.6,910652,control,view,0.845520766
27:45.1,449674,control,view,100.9647989
47:56.5,331017,experiment,view,197.2272239
05:59.7,372639,experiment,view,112.7899011
30:41.9,764868,control,view,42.33000367
44:09.3,621143,control,view,170.8768315
08:23.8,750852,experiment,view,276.2040935
38:32.0,454570,control,view,35.10056668
12:36.1,696228,experiment,view,71.5396623
12:05.5,711264,control,view,131.7673202
29:27.0,186929,control,view,91.14992372
26:04.4,199974,experiment,enroll,191.5311564
39:15.5,445368,experiment,enroll,300.9322628
59:44.2,350409,experiment,enroll,187.3431937
01:47.4,312262,experiment,view,146.6050048
16:37.1,601217,control,view,68.10401274
11:13.6,748606,control,enroll,29.82561587
41:47.8,383503,control,view,154.5519176
53:14.1,872068,experiment,view,160.2565971
18:12.5,575385,experiment,view,48.20358038
31:15.9,235211,control,view,42.73721394
39:11.2,686861,experiment,view,40.57387419
46:57.3,662047,experiment,view,39.05740923
59:33.5,197614,control,view,211.5842063
39:05.7,899604,experiment,view,202.4648963
43:06.1,501012,experiment,enroll,22.88289915
55:04.9,886443,experiment,view,95.56103882
26:34.3,855255,experiment,view,55.80336799
28:21.8,821157,control,enroll,164.1023585
23:08.4,294859,experiment,enroll,44.53219291
27:11.4,334974,experiment,enroll,126.1116176
04:07.6,304691,control,view,49.71047742
51:41.8,456848,control,enroll,13.42192446
33:37.0,322674,experiment,view,103.6001793
57:34.9,717692,control,view,215.0718528
36:41.7,368469,experiment,view,15.44748175
01:39.3,210817,experiment,view,163.0586844
38:18.0,796410,control,view,147.323878
49:30.0,184277,experiment,view,193.2124886
19:01.4,868255,control,view,133.1206766
02:53.3,785025,control,view,10.78872417
20:13.3,802689,control,view,51.70963566
33:10.1,820398,control,view,18.15338237
56:15.3,717163,experiment,view,198.1933112
15:15.7,637317,experiment,view,168.6241766
20:07.5,936654,experiment,view,182.3050927
16:32.2,496794,control,view,89.53286018
43:09.4,737099,control,view,188.1701324
23:06.2,704060,control,view,22.51093456
05:14.7,223149,control,enroll,0.195301062
16:30.0,934864,control,view,76.26926609
25:25.5,511105,experiment,view,175.6637767
51:50.2,914741,control,view,201.8507271
42:16.7,548518,experiment,view,235.2980662
50:28.6,518703,control,view,211.0602183
47:25.3,898152,experiment,view,292.9950094
52:59.2,469740,control,view,227.3487737
27:48.0,714873,control,view,98.29429587
05:40.0,733332,control,view,227.7394652
10:59.5,394398,control,view,87.64956825
40:41.2,372170,experiment,view,71.16174003
08:34.3,403451,experiment,view,198.9879066
21:22.5,479053,experiment,enroll,185.8172197
32:34.9,655750,experiment,enroll,319.8570396
51:01.6,273202,experiment,view,122.7411244
56:48.8,801425,experiment,view,109.3957281
04:11.2,233271,control,view,150.0729603
10:18.0,191069,control,view,44.65130435
31:17.4,329294,experiment,enroll,201.2920758
45:33.5,266401,control,view,141.0496007
21:50.5,646190,experiment,view,90.95366812
13:46.4,576792,experiment,view,22.66921954
14:54.0,647633,experiment,view,215.8281012
16:31.6,798115,experiment,enroll,95.7678425
53:36.7,443787,experiment,view,232.3654528
27:32.6,336739,experiment,view,170.5048737
31:56.5,399171,experiment,view,61.88780376
38:12.1,898314,experiment,view,194.5352271
45:39.4,235185,experiment,view,267.7310379
02:01.5,429105,experiment,enroll,61.24677076
37:23.4,821738,experiment,view,72.31736756
48:55.0,399011,control,view,102.0974722
52:43.2,299341,control,view,234.6357613
08:39.8,711838,experiment,view,201.7858005
08:53.1,711838,experiment,view,201.7858005
03:13.0,730103,control,view,166.0237669
04:19.7,530689,control,enroll,169.0092592
18:37.9,446552,control,view,3.440005355
50:37.2,533985,experiment,enroll,196.3904597
50:59.7,433404,control,view,39.91270509
04:04.9,381068,control,view,131.902206
21:57.5,702302,control,view,5.473040573
25:11.9,453338,control,view,69.59164758
58:41.2,658566,experiment,view,2.117881593
13:05.8,253348,control,enroll,179.1649822
45:33.1,374346,control,view,100.6421803
36:44.3,483063,experiment,enroll,159.2967476
16:56.8,905147,experiment,enroll,130.6936061
52:08.5,233679,control,view,87.49701113
36:39.1,668418,experiment,view,141.3529809
20:11.6,895027,experiment,view,98.26646846
09:40.2,618970,control,enroll,48.53673262
26:29.9,277232,experiment,enroll,174.4352532
58:55.1,656583,experiment,view,156.0269871
25:42.9,563953,experiment,enroll,91.37431419
35:28.4,488252,experiment,enroll,116.8898126
59:08.0,736093,control,view,46.34865391
00:28.6,523002,experiment,enroll,29.9673773
07:42.4,519288,control,view,133.8084638
35:12.9,616040,experiment,view,139.2110694
46:54.5,205169,control,view,229.7793381
09:04.1,718089,experiment,view,65.99590331
13:47.2,660552,control,enroll,74.51574932
14:57.7,913436,control,view,97.29775232
25:25.9,650042,control,enroll,49.76045756
59:26.9,566446,experiment,view,77.9994109
59:53.5,790990,experiment,enroll,183.2729756
17:23.8,761735,experiment,view,43.63096647
18:34.1,509093,control,enroll,106.733015
00:27.7,411556,control,view,29.24169559
44:48.5,397716,experiment,enroll,216.5866095
57:49.8,187948,control,view,164.4899903
38:24.3,511188,experiment,view,112.7666386
44:31.7,362819,control,view,114.9250227
48:18.0,197540,experiment,view,99.57327502
57:32.6,747580,experiment,view,25.26044738
59:37.8,381748,control,view,235.090808
06:44.1,495724,control,view,87.22725665
22:13.1,590747,experiment,view,13.86286035
35:07.8,434647,experiment,view,186.7385386
37:55.3,305913,control,view,161.5846559
19:40.3,440442,experiment,view,116.1461097
23:15.1,871140,control,view,29.9037284
38:13.4,202632,control,view,132.0467186
38:47.3,533580,experiment,view,145.765191
42:12.8,353166,experiment,view,294.9064769
06:35.1,657732,experiment,enroll,57.97479638
02:11.4,211548,control,view,92.46341254
47:56.2,598270,experiment,enroll,43.61710634
11:23.8,652825,experiment,enroll,98.35172029
47:29.5,495779,control,enroll,117.7226954
58:52.4,641794,control,enroll,111.8367189
06:24.9,391133,control,enroll,112.7622098
22:31.3,860274,experiment,view,148.2151721
31:30.1,589986,control,view,10.55012125
36:43.1,894468,control,enroll,218.411731
29:23.8,774544,experiment,view,138.7972322
47:51.2,548198,control,enroll,247.3148328
11:47.3,380621,control,view,187.1306453
09:45.4,246388,control,view,42.13029995
52:09.7,587346,control,view,212.6455095
57:32.7,301204,experiment,enroll,110.7485055
23:58.2,437110,control,view,35.39651863
03:51.0,657595,experiment,view,158.0103383
33:29.2,643072,control,view,187.0540859
56:01.7,496601,experiment,view,65.16473061
10:03.5,576258,experiment,view,51.52974214
55:25.9,371617,experiment,view,51.26856744
21:38.9,191674,control,view,27.00922553
15:32.3,579078,control,view,142.2586907
46:04.7,770691,control,view,4.663115455
00:11.1,907024,control,view,61.6454977
26:43.5,441352,experiment,view,97.97899586
29:42.2,626891,control,view,136.8430622
32:14.1,583724,control,view,57.48632713
17:31.9,473085,control,view,292.8239447
55:31.1,736100,experiment,view,153.2682448
11:04.0,224572,control,view,136.0969168
57:11.1,802405,control,view,141.340041
57:44.1,802405,control,view,
10:38.3,679230,control,view,1.384335662
39:18.5,839183,experiment,view,283.6100423
59:00.6,362431,experiment,view,108.2210294
01:24.3,458146,experiment,view,20.38474584
12:11.2,721756,control,enroll,225.5293097
37:44.0,829973,control,view,104.133092
48:50.0,320722,control,enroll,175.7066304
16:39.8,524941,control,view,223.9105132
17:07.7,524941,control,view,
18:40.5,639714,experiment,view,136.3192061
28:44.4,379491,control,view,32.33431282
