主演,5星,制片国家/地区,编剧,4星,类型,豆瓣评分,3星,上映日期,1星,2星,电影名称,片长
刘烨/冯远征/张嘉译/陈坤/马少骅/李沁/周润发/赵本山/黄磊/吕良伟/刘德华/廖凡/董洁/周迅/范冰冰/张一山/王丹戎/李晨/黄轩/戚玉武/王学兵/周杰/王柏杰/董璇/叶璇/柳云龙/张家辉/范伟/方中信/冯巩/余少群/张涵予/李菁/陶泽如/侯勇/吴彦祖/王学圻/冯丹滢/徐峥/车永莉/王珞丹/陈道明/刘桦/井柏然/王力宏/刘佩琦/爱新觉罗·启星/韩庚/邓超/何平/李雪健/维塔斯/潘粤明/方力申/任达华/李湘/郭晓东/姜武/杨洋/郭涛/句号/杨颖/张震,,中国大陆 / 香港,董哲/郭俊立/黄建新,,剧情/历史,,,2011/6/15,,,建党伟业,124分钟
希亚·拉博夫/罗茜·汉丁顿-惠特莉/乔什·杜哈明/泰瑞斯·吉布森/约翰·马尔科维奇/弗兰西斯·麦克多蒙德/郑肯/凯文·杜恩/朱丽叶·怀特/帕特里克·德姆西/艾伦·图代克,12.80%,美国,伊伦·克鲁格,36.90%,动作/科幻,7,41.10%,2011/7/21,1.70%,7.50%,变形金刚3 Transformers: Dark of the Moon,154分钟
杰克·布莱克/安吉丽娜·朱莉/达斯汀·霍夫曼/加里·奥德曼/成龙/塞斯·罗根/刘玉玲/大卫·克罗斯/吴汉章/杨紫琼/丹尼·麦克布莱德/丹尼斯·海斯伯特/尚格·云顿/维克多·加博/迈克·贝尔/艾普尔·洪/亚历山德拉·戈尔德·朱尔登/斯蒂芬·凯林/利亚姆·奈特/保罗·马祖斯基/丹·奥康纳/罗密·罗斯蒙特/莫瑞·史特林/弗莱德·塔他斯西奥/劳伦·汤姆/康拉德·弗农,26.70%,美国,乔纳森·阿贝尔/格伦·伯杰,48.30%,喜剧/动作/动画/冒险,8,23.00%,2011/5/28,0.30%,1.70%,功夫熊猫2 Kung Fu Panda 2,91分钟
克里斯蒂安·贝尔/倪妮/张歆怡/黄天元/韩熙庭/张逗逗/佟大为/曹可凡/渡部笃郎/黄海波/窦骁/聂远/高虎/秦昊/李玥敏/白雪/袁杨纯子/孙佳/朱良奇/小林成男/山中崇/保罗·施耐德/李纯/顾璇/周梦乔/周羽/邓莉/苏小妹/钱柳吟/叶清源 Qingyuan Ye/戴瑶君/沈俊然/李楚楚/金子欣/李瑞琦/谷艺璇/许佳丽/张照怡/王靖雯/谭逸敏/赵伊聪/来喜/奇道/王超北/王羽铮/李飞/王聪/项斌/郭晓明/涩谷天马/梶冈润一,29.00%,中国大陆 / 香港,刘恒/严歌苓,45.80%,剧情/历史/战争,8,21.10%,2011/12/15,1.20%,2.90%,金陵十三钗,145分钟
李连杰/周迅/陈坤/李宇春/桂纶镁/范晓萱/樊少皇/杜奕衡/刘家辉/张馨予/盛鉴/薛剑/王双宝/韩飞行/李炳渊/庄杰/吴迪/李军如/李思博/翟钢/吕德亮/戴明/周大庆/安琪儿/高杰/钢特木尔/张秋风/张东/白斯古楞/石占杰/石凯/卫博/沙学周/肖瑞/吴飞/张兆玉/张成林/吴正林,9.00%,中国大陆 / 香港,徐克/何冀平/朱雅欐,31.70%,动作/武侠/古装,6.7,46.30%,2011/12/15,2.40%,10.60%,龙门飞甲,120分钟
约翰尼·德普/佩内洛普·克鲁兹/杰弗里·拉什/伊恩·麦柯肖恩/山姆·克拉弗林/阿斯特丽德·伯格斯-弗瑞斯贝/凯文·麦克纳利/斯蒂芬·格拉汉姆/凯斯·理查德兹/理查德·格雷弗斯/嘉玛·沃德/朱迪·丹奇,17.20%,美国,泰德·艾略特/特里·鲁西奥,44.10%,动作/奇幻/冒险,7.5,34.50%,2011/5/20,0.50%,3.70%,加勒比海盗4：惊涛怪浪 Pirates of the Caribbean: On Stranger Tides,136分钟
丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/海伦娜·伯翰·卡特/拉尔夫·费因斯/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/邦妮·怀特/朱丽·沃特斯/迈克尔·刚本/伊文娜·林奇/多姆纳尔·格里森/克蕾曼丝·波西/詹森·艾萨克/海伦·麦克洛瑞/马修·刘易斯/梁佩诗,49.00%,美国 / 英国,史蒂夫·克洛夫斯/J·K·罗琳,36.10%,剧情/悬疑/奇幻/冒险,8.6,13.60%,2011/8/4,0.40%,1.10%,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,130分钟
白百何/文章/张嘉译/王耀庆/张子萱/郭京飞/曹翠芬/魏宗万/海清/廖凡/徐梵溪/李念/焦俊艳/艾如/叶一云/赵毅/姚笛/李晨/马伊琍/陈羽凡/张歆艺/张默/刘天佐/李晓峰,15.00%,中国大陆,鲍鲸鲸,42.10%,剧情/爱情,7.3,37.00%,2011/11/8,1.10%,4.90%,失恋33天,110分钟
尼尔·帕特里克·哈里斯/杰玛·梅斯/汉克·阿扎利亚/乔纳森·温特斯/凯蒂·派瑞/艾伦·卡明/乔治·洛佩兹/保罗·雷宾斯/基南·汤普森/B·J·诺瓦克/杰夫·福克斯沃西/沃尔夫冈·帕克/索菲娅·维加拉/安东·叶利钦,14.90%,美国 / 比利时,J·大卫·斯提姆/戴维·N·韦斯/佩约/杰·舒瑞克/大卫·隆恩,39.20%,喜剧/动画/家庭/奇幻,7.2,38.80%,2011/8/10,1.10%,6.10%,蓝精灵 The Smurfs,103分钟
范·迪塞尔/保罗·沃克/道恩·强森/乔丹娜·布鲁斯特/泰瑞斯·吉布森/卢达克里斯/马特·斯查尔兹/姜成镐/盖尔·加朵/埃尔莎·帕塔奇/乔昆姆·德·阿尔梅达/迈克尔·埃尔比,38.40%,美国,克里斯·摩根/盖瑞·斯科特·汤普森,44.80%,动作/犯罪,8.4,15.30%,2011/5/12,0.30%,1.20%,速度与激情5 Fast Five,130分钟
