影片名,姓名,演职人员,代表作,评分,性别,星座,出生日期,出生地,职业
变形金刚3 Transformers: Dark of the Moon,迈克尔·贝,导演,变形金刚,8.1,男,水瓶座,1965/2/17,"美国,加利福尼亚,洛杉矶",制片 / 导演 / 演员
变形金刚3 Transformers: Dark of the Moon,迈克尔·贝,导演,变形金刚2,7.6,男,水瓶座,1965/2/17,"美国,加利福尼亚,洛杉矶",制片 / 导演 / 演员
变形金刚3 Transformers: Dark of the Moon,迈克尔·贝,导演,变形金刚3,7,男,水瓶座,1965/2/17,"美国,加利福尼亚,洛杉矶",制片 / 导演 / 演员
变形金刚3 Transformers: Dark of the Moon,希亚·拉博夫,演员,变形金刚,8.1,男,双子座,1986/6/11,"美国,加利福尼亚州,洛杉矶",演员 / 导演 / 编剧 / 配音
变形金刚3 Transformers: Dark of the Moon,迈克尔·贝,导演,变形金刚,8.1,男,水瓶座,1965/2/17,"美国,加利福尼亚,洛杉矶",制片 / 导演 / 演员
变形金刚3 Transformers: Dark of the Moon,迈克尔·贝,导演,变形金刚2,7.6,男,水瓶座,1965/2/17,"美国,加利福尼亚,洛杉矶",制片 / 导演 / 演员
变形金刚3 Transformers: Dark of the Moon,迈克尔·贝,导演,变形金刚3,7,男,水瓶座,1965/2/17,"美国,加利福尼亚,洛杉矶",制片 / 导演 / 演员
变形金刚3 Transformers: Dark of the Moon,希亚·拉博夫,演员,变形金刚,8.1,男,双子座,1986/6/11,"美国,加利福尼亚州,洛杉矶",演员 / 导演 / 编剧 / 配音
变形金刚3 Transformers: Dark of the Moon,希亚·拉博夫,演员,变形金刚2,7.6,男,双子座,1986/6/11,"美国,加利福尼亚州,洛杉矶",演员 / 导演 / 编剧 / 配音
变形金刚3 Transformers: Dark of the Moon,希亚·拉博夫,演员,变形金刚3,7,男,双子座,1986/6/11,"美国,加利福尼亚州,洛杉矶",演员 / 导演 / 编剧 / 配音
