id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2020-03-31 08:26:38,湖北,67801,0,63153,3187,0,0,,271,1,,
440000,2020-03-31 17:49:10,广东,1494,0,1356,8,0,10,,5,0,,
410000,2020-03-31 08:30:02,河南,1276,0,1251,22,0,0,,0,0,,
330000,2020-03-31 09:06:29,浙江,1257,0,1226,1,0,2,,1,0,,
430000,2020-03-31 08:27:03,湖南,1018,0,1014,4,0,0,,0,0,,
340000,2020-03-31 08:49:16,安徽,990,0,984,6,0,0,,0,0,,
360000,2020-03-31 09:07:31,江西,937,0,935,1,0,0,,0,0,,
370000,2020-03-31 08:24:19,山东,774,0,753,7,0,1,,0,0,,
810000,2020-03-31 17:04:26,香港,714,0,128,4,0,73,0.0,10,0,0.0,
320000,2020-03-31 08:46:46,江苏,646,0,631,0,0,1,,0,0,,
110000,2020-03-31 12:48:12,北京,580,0,418,8,0,3,,6,0,,
500000,2020-03-31 07:21:46,重庆,579,0,570,6,0,0,,0,0,,
510000,2020-03-31 08:32:06,四川,550,0,536,3,0,0,,0,0,,
310000,2020-03-31 15:28:08,上海,509,0,341,5,0,11,,7,0,,
230000,2020-03-31 07:57:25,黑龙江,484,0,469,13,0,0,,0,0,,
350000,2020-03-31 08:31:05,福建,343,0,295,1,0,3,,0,0,,
700000,2020-03-31 14:20:18,台湾,322,0,39,5,0,24,0.0,0,2,0.0,
130000,2020-03-31 08:46:00,河北,321,0,310,6,0,0,,0,0,,
450000,2020-03-31 08:13:17,广西,254,0,250,2,0,0,,0,0,,
610000,2020-03-31 08:48:53,陕西,253,0,242,3,0,0,,0,0,,
530000,2020-03-31 01:20:12,云南,181,0,172,2,0,1,,0,0,,
120000,2020-03-31 09:26:12,天津,174,0,133,3,0,8,,0,0,,
460000,2020-03-31 08:41:30,海南,168,0,162,6,0,0,,0,0,,
520000,2020-03-31 08:34:47,贵州,147,0,144,2,0,0,,0,0,,
210000,2020-03-31 08:05:34,辽宁,139,0,124,2,0,3,,0,0,,
620000,2020-03-31 08:37:29,甘肃,138,0,125,2,0,0,,0,0,,
140000,2020-03-31 02:05:33,山西,136,0,133,0,0,0,,0,0,,
150000,2020-03-31 07:43:20,内蒙古,107,0,74,1,0,10,,0,0,,
220000,2020-03-31 07:31:15,吉林,98,0,92,1,0,0,,0,0,,
650000,2020-03-31 08:31:35,新疆,76,0,73,3,0,0,,0,0,,
640000,2020-03-31 09:27:45,宁夏,75,0,75,0,0,0,,0,0,,
820000,2020-03-31 08:21:58,澳门,39,0,10,0,0,1,0.0,0,0,0.0,
630000,2020-03-31 08:58:32,青海,18,0,18,0,0,0,,0,0,,
540000,2020-03-31 10:08:52,西藏,1,0,1,0,0,0,,0,0,,
