id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
9577772,2020-03-30 08:29:52,突尼斯,312,0,2,8,0,,0.0,,,0.0,
9507896,2020-03-31 13:14:50,塞尔维亚,785,0,0,16,0,44.0,0.0,0.0,3.0,0.0,
0,2020-03-31 18:11:03,中国,82599,183,76237,3314,528,151.0,44.0,300.0,3.0,-105.0,
1,2020-03-31 10:47:59,日本,2720,0,1027,70,0,19.0,,0.0,0.0,,
2,2020-03-31 13:00:41,泰国,1651,0,127,10,0,127.0,0.0,0.0,1.0,0.0,
3,2020-03-31 13:39:57,新加坡,879,0,212,3,0,77.0,0.0,14.0,0.0,0.0,
4,2020-03-31 12:04:05,韩国,9786,0,5408,162,0,125.0,0.0,180.0,4.0,0.0,
5,2020-03-31 15:33:01,澳大利亚,4557,0,244,19,0,198.0,0.0,0.0,1.0,0.0,
6,2020-03-31 09:21:46,德国,66885,0,13500,645,0,4350.0,0.0,5019.0,212.0,0.0,
7,2020-03-31 13:53:03,美国,164603,0,5896,3070,0,20349.0,0.0,351.0,117.0,0.0,
8,2020-03-31 17:53:23,马来西亚,2766,0,537,43,0,140.0,0.0,58.0,6.0,0.0,
9,2020-03-31 15:02:43,越南,204,0,55,0,0,1.0,0.0,3.0,0.0,0.0,
89566,2020-03-27 11:18:38,圣巴泰勒米,3,0,0,0,0,,0.0,,,0.0,
821,2020-03-31 00:00:31,肯尼亚,50,0,1,1,0,,,,,,
826,2020-03-31 17:48:20,伊朗,44606,0,14656,2898,0,3111.0,,745.0,141.0,,
827,2020-03-31 16:35:46,以色列,4831,0,163,17,0,136.0,0.0,2.0,1.0,0.0,
829,2020-03-31 18:00:42,黎巴嫩,463,0,35,12,0,17.0,0.0,3.0,1.0,0.0,
833,2020-03-31 02:46:46,克罗地亚,790,0,64,6,0,77.0,0.0,19.0,0.0,0.0,
834,2020-03-31 17:22:40,奥地利,9634,0,636,108,0,37.0,0.0,0.0,0.0,0.0,
835,2020-03-31 18:42:13,瑞士,16176,0,1823,373,0,701.0,0.0,0.0,14.0,0.0,
839,2020-03-31 08:14:26,希腊,1212,0,42,43,0,56.0,0.0,0.0,5.0,0.0,
95800,2020-03-31 16:17:00,毛里求斯,143,0,0,3,0,12.0,0.0,0.0,0.0,0.0,
845,2020-03-31 02:01:05,爱沙尼亚,715,0,34,3,0,36.0,0.0,0.0,0.0,0.0,
846,2020-03-31 00:00:31,北马其顿,259,0,3,6,0,,,,,,
850,2020-03-31 07:35:15,白俄罗斯,152,0,47,0,0,58.0,0.0,15.0,0.0,0.0,
851,2020-03-31 08:56:26,立陶宛,484,0,1,7,0,47.0,0.0,0.0,0.0,0.0,
852,2020-03-31 09:13:11,阿塞拜疆,273,0,26,4,0,64.0,0.0,11.0,0.0,0.0,
875097,2020-03-31 00:00:31,美属维尔京群岛,19,0,0,0,0,,,,,,
95826,2020-03-29 00:00:31,蒙古,12,0,0,0,0,,0.0,,,0.0,
872,2020-03-31 07:28:14,乌克兰,548,0,8,13,0,68.0,0.0,2.0,3.0,0.0,
874,2020-03-31 07:25:17,波兰,2055,0,13,31,0,193.0,0.0,0.0,9.0,0.0,
878,2020-03-06 00:00:31,波斯尼亚,1,0,0,0,0,,0.0,,,0.0,
879,2020-03-31 07:40:23,波黑,358,0,17,9,0,31.0,0.0,9.0,3.0,0.0,
80902,2020-03-31 00:00:31,蒙特塞拉特,5,0,0,0,0,,,,,,
880,2020-03-31 08:06:16,南非,1326,0,31,3,0,46.0,0.0,0.0,1.0,0.0,
893,2020-03-31 00:00:31,马耳他,156,0,2,0,0,,,,,,
