date,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
2020-01-20,,291,54,25,6,0,291,27,25,6,0,
2020-01-21,,440,37,25,9,102,149,26,0,3,0,
2020-01-22,,571,393,28,17,95,131,257,3,8,0,
2020-01-23,,830,1072,34,25,177,259,680,6,8,0,
2020-01-24,,1287,1965,38,41,237,457,1118,4,16,0,
2020-01-25,,1975,2684,49,56,324,688,1309,11,15,0,
2020-01-26,,2744,5794,51,80,461,769,3806,2,24,0,
2020-01-27,,4515,6973,60,106,976,1771,2077,9,26,0,
2020-01-28,,5974,9239,103,132,1239,1459,3248,43,26,0,
2020-01-29,,7711,12167,124,170,1370,1737,4148,21,38,0,
2020-01-30,,9692,15238,171,213,1527,1981,4812,47,43,0,
2020-01-31,,11791,17988,243,259,1795,2099,5019,72,46,0,
2020-02-01,,14380,19544,328,304,2110,2589,4562,85,45,0,
2020-02-02,,17205,21558,475,361,2296,2825,5173,147,57,0,
2020-02-03,,20438,23214,632,425,2788,3233,5072,157,64,0,
2020-02-04,,24324,23260,892,490,3219,3886,3971,260,65,0,
2020-02-05,,28018,24702,1153,563,3859,3694,5328,261,73,0,
2020-02-06,,31161,26359,1540,636,4821,3143,4833,387,73,0,
2020-02-07,,34546,27657,2050,722,6101,3385,4214,510,86,0,
2020-02-08,,37198,28942,2649,811,6188,2652,3916,599,89,0,
2020-02-09,,40171,23589,3281,908,6484,2973,4008,632,97,0,
2020-02-10,,42638,21675,3996,1016,7333,2467,3536,715,108,0,
2020-02-11,,44653,16067,4740,1113,8204,2015,3342,744,97,0,
2020-02-12,,58761,13435,5642,1259,8030,14108,2807,902,146,0,
2020-02-13,,63851,10109,6723,1380,10204,5090,2450,1081,121,0,
2020-02-14,,66492,8969,8096,1523,11053,2641,2277,1373,143,0,
2020-02-15,,68500,8228,9419,1665,11272,2008,1918,1323,142,0,
2020-02-16,,70548,7264,10844,1770,10644,2048,1563,1425,105,0,
2020-02-17,,72436,6242,12552,1868,11741,1888,1432,1708,98,0,
2020-02-18,,74185,5248,14376,2004,11977,1749,1185,1824,136,0,
2020-02-19,,75002,4922,16157,2118,11864,817,1277,1781,114,0,
2020-02-20,,75891,5206,18266,2236,11633,889,1614,2109,118,0,
2020-02-21,,76288,5365,20659,2345,11477,397,1361,2393,109,0,
2020-02-22,,76741,4148,22888,2442,10968,453,882,2229,97,0,
2020-02-23,,77150,3434,24734,2592,9915,409,620,1846,150,0,
2020-02-24,,77658,2824,27323,2663,9126,508,530,2589,71,0,
2020-02-25,,78064,2491,29745,2715,8752,406,439,2422,52,0,
2020-02-26,,78497,2358,32495,2744,8346,433,508,2750,29,0,
2020-02-27,,78824,2308,36117,2788,7952,327,452,3622,44,0,
2020-02-28,,79251,1418,39002,2835,7664,427,248,2885,47,0,
2020-02-29,,79824,851,41625,2870,7365,573,132,2623,35,0,
2020-03-01,,80026,715,44462,2912,7110,202,141,2837,42,0,
2020-03-02,,80151,587,47204,2943,6806,125,129,2742,31,0,
2020-03-03,,80270,520,49856,2981,6416,119,143,2652,38,0,
2020-03-04,,80409,522,52045,3012,5952,139,143,2189,31,0,
2020-03-05,,80552,482,53726,3042,5737,143,102,1681,30,0,
2020-03-06,,80651,502,55404,3070,5489,99,99,1678,28,0,
2020-03-07,,80695,458,57065,3097,5264,44,84,1661,27,0,
2020-03-08,,80735,421,58600,3119,5111,40,60,1535,22,0,
2020-03-09,,80754,349,59897,3136,4794,19,36,1297,17,0,
2020-03-10,,80778,285,61475,3158,4492,24,31,1578,22,0,
2020-03-11,,80793,253,62793,3169,4257,15,33,1318,11,0,
2020-03-12,,80813,147,64111,3176,4020,20,33,1318,7,0,
2020-03-13,,80824,115,65541,3189,3610,11,17,1430,13,0,
2020-03-14,,80844,113,66911,3199,3226,20,39,1370,10,0,
2020-03-15,,80860,134,67749,3213,3032,16,41,838,14,0,
2020-03-16,,80881,128,68679,3226,2830,21,45,930,13,0,
2020-03-17,,80894,119,69601,3237,2622,13,21,922,11,0,
2020-03-18,,80928,105,70420,3245,2314,34,23,819,8,0,
2020-03-19,,80967,104,71150,3248,2136,39,31,730,3,0,
2020-03-20,,81008,106,71740,3255,1963,41,36,590,7,0,
2020-03-21,,81054,118,72244,3261,1845,46,45,504,6,0,
2020-03-22,,81093,136,72703,3270,1749,39,47,459,9,0,
2020-03-23,,81171,132,73159,3277,1573,78,35,456,7,0,
2020-03-24,,81218,134,73650,3281,1399,47,33,491,4,0,
2020-03-25,,81285,159,74051,3287,1235,67,58,401,6,0,
2020-03-26,,81340,189,74588,3292,1034,55,49,537,5,0,
2020-03-27,,81394,184,74971,3295,921,54,29,383,3,0,
2020-03-28,,81439,174,75448,3300,742,45,28,477,5,0,
2020-03-29,,81470,168,75770,3304,633,31,17,322,4,0,
2020-03-30,,81518,183,76052,3305,528,48,44,282,1,0,
