,日期,城市,累计确诊人数,累计自愈人数,累计死亡人数
0,2020-01-25,保定,3.0,0.0,0.0
1,2020-02-10,保定,30.0,9.0,0.0
2,2020-02-25,保定,32.0,32.0,0.0
3,2020-03-10,保定,32.0,32.0,0.0
4,2020-03-25,保定,32.0,32.0,0.0
5,2020-04-10,保定,32.0,32.0,0.0
6,2020-04-25,保定,32.0,32.0,0.0
7,2020-05-10,保定,32.0,32.0,0.0
8,2020-05-25,保定,32.0,32.0,0.0
9,2020-06-10,保定,32.0,32.0,0.0
10,2020-06-25,保定,45.0,33.0,0.0
11,2020-01-10,武汉,41.0,2.0,1.0
12,2020-01-25,武汉,618.0,40.0,45.0
13,2020-02-10,武汉,18454.0,1173.0,748.0
14,2020-02-25,武汉,47441.0,12026.0,2085.0
15,2020-03-10,武汉,49978.0,33264.0,2423.0
16,2020-03-25,武汉,50006.0,44020.0,2531.0
17,2020-04-10,武汉,50008.0,46154.0,2577.0
18,2020-04-25,武汉,50333.0,46452.0,3869.0
19,2020-05-10,武汉,50339.0,46464.0,3869.0
20,2020-05-25,武汉,50340.0,46465.0,3869.0
21,2020-06-10,武汉,50340.0,46471.0,3869.0
22,2020-06-25,武汉,50340.0,46471.0,3869.0
23,2020-01-25,深圳,27.0,2.0,0.0
24,2020-02-10,深圳,375.0,56.0,0.0
25,2020-02-25,深圳,417.0,262.0,3.0
26,2020-03-10,深圳,417.0,387.0,3.0
27,2020-03-25,深圳,417.0,414.0,3.0
28,2020-04-10,深圳,419.0,414.0,3.0
29,2020-04-25,深圳,422.0,414.0,3.0
30,2020-05-10,深圳,423.0,414.0,3.0
31,2020-05-25,深圳,423.0,414.0,3.0
32,2020-06-10,深圳,423.0,414.0,3.0
33,2020-06-25,深圳,423.0,414.0,3.0
