,省份,日期,累计确诊人数,累计自愈人数,累计死亡人数,新增确诊,新增治愈,新增死亡
0,上海,2020-01-20,1.0,0.0,0.0,1.0,0.0,0.0
1,上海,2020-01-21,1.0,0.0,0.0,0.0,0.0,0.0
2,上海,2020-01-22,1.0,0.0,0.0,0.0,0.0,0.0
3,上海,2020-01-23,1.0,0.0,0.0,0.0,0.0,0.0
4,上海,2020-01-24,1.0,1.0,0.0,0.0,1.0,0.0
5,上海,2020-01-25,2.0,1.0,0.0,1.0,0.0,0.0
6,上海,2020-01-26,2.0,1.0,1.0,0.0,0.0,1.0
7,上海,2020-01-27,66.0,3.0,1.0,64.0,2.0,0.0
8,上海,2020-01-28,80.0,4.0,1.0,14.0,1.0,0.0
9,上海,2020-01-29,100.0,5.0,1.0,20.0,1.0,0.0
10,上海,2020-01-30,127.0,5.0,1.0,27.0,0.0,0.0
11,上海,2020-01-31,152.0,5.0,1.0,25.0,0.0,0.0
12,上海,2020-02-01,176.0,5.0,1.0,24.0,0.0,0.0
13,上海,2020-02-02,192.0,5.0,1.0,16.0,0.0,0.0
14,上海,2020-02-03,207.0,5.0,1.0,15.0,0.0,0.0
15,上海,2020-02-04,232.0,5.0,1.0,25.0,0.0,0.0
16,上海,2020-02-05,253.0,15.0,1.0,21.0,10.0,0.0
17,上海,2020-02-06,268.0,25.0,1.0,15.0,10.0,0.0
18,上海,2020-02-07,280.0,30.0,1.0,12.0,5.0,0.0
19,上海,2020-02-08,291.0,41.0,1.0,11.0,11.0,0.0
20,上海,2020-02-09,294.0,44.0,1.0,3.0,3.0,0.0
21,上海,2020-02-10,301.0,48.0,1.0,7.0,4.0,0.0
22,上海,2020-02-11,307.0,53.0,1.0,6.0,5.0,0.0
23,上海,2020-02-12,314.0,57.0,1.0,7.0,4.0,0.0
24,上海,2020-02-13,319.0,62.0,1.0,5.0,5.0,0.0
25,上海,2020-02-14,327.0,90.0,1.0,8.0,28.0,0.0
26,上海,2020-02-15,329.0,124.0,1.0,2.0,34.0,0.0
27,上海,2020-02-16,332.0,140.0,1.0,3.0,16.0,0.0
28,上海,2020-02-17,334.0,161.0,1.0,2.0,21.0,0.0
29,上海,2020-02-18,334.0,177.0,1.0,0.0,16.0,0.0
30,上海,2020-02-19,334.0,186.0,1.0,0.0,9.0,0.0
31,上海,2020-02-20,335.0,199.0,1.0,1.0,13.0,0.0
32,上海,2020-02-21,335.0,211.0,1.0,0.0,12.0,0.0
33,上海,2020-02-22,336.0,227.0,1.0,1.0,16.0,0.0
34,上海,2020-02-23,336.0,249.0,1.0,0.0,22.0,0.0
35,上海,2020-02-24,336.0,261.0,1.0,0.0,12.0,0.0
36,上海,2020-02-25,337.0,268.0,1.0,1.0,7.0,0.0
37,上海,2020-02-26,338.0,272.0,1.0,1.0,4.0,0.0
38,上海,2020-02-27,338.0,276.0,1.0,0.0,4.0,0.0
39,上海,2020-02-28,338.0,279.0,1.0,0.0,3.0,0.0
40,上海,2020-02-29,338.0,287.0,1.0,0.0,8.0,0.0
41,上海,2020-03-01,338.0,290.0,1.0,0.0,3.0,0.0
42,上海,2020-03-02,339.0,292.0,1.0,1.0,2.0,0.0
43,上海,2020-03-03,339.0,294.0,1.0,0.0,2.0,0.0
44,上海,2020-03-04,339.0,298.0,1.0,0.0,4.0,0.0
45,上海,2020-03-05,340.0,303.0,1.0,1.0,5.0,0.0
46,上海,2020-03-06,343.0,306.0,1.0,3.0,3.0,0.0
47,上海,2020-03-07,343.0,313.0,1.0,0.0,7.0,0.0
48,上海,2020-03-08,343.0,314.0,1.0,0.0,1.0,0.0
49,上海,2020-03-09,343.0,315.0,1.0,0.0,1.0,0.0
50,上海,2020-03-10,345.0,319.0,1.0,2.0,4.0,0.0
51,上海,2020-03-11,345.0,320.0,1.0,0.0,1.0,0.0
52,上海,2020-03-12,347.0,321.0,1.0,2.0,1.0,0.0
53,上海,2020-03-13,351.0,324.0,1.0,4.0,3.0,0.0
54,上海,2020-03-14,354.0,324.0,1.0,3.0,0.0,0.0
55,上海,2020-03-15,356.0,324.0,1.0,2.0,0.0,0.0
56,上海,2020-03-16,359.0,324.0,1.0,3.0,0.0,0.0
57,上海,2020-03-17,362.0,324.0,1.0,3.0,0.0,0.0
58,上海,2020-03-18,364.0,325.0,1.0,2.0,1.0,0.0
59,上海,2020-03-19,372.0,325.0,1.0,8.0,0.0,0.0
60,上海,2020-03-20,381.0,325.0,1.0,9.0,0.0,0.0
61,上海,2020-03-21,395.0,325.0,1.0,14.0,0.0,0.0
62,上海,2020-03-22,405.0,325.0,1.0,10.0,0.0,0.0
63,上海,2020-03-23,415.0,326.0,1.0,10.0,1.0,0.0
64,上海,2020-03-24,434.0,327.0,1.0,19.0,1.0,0.0
65,上海,2020-03-25,452.0,327.0,1.0,18.0,0.0,0.0
66,上海,2020-03-26,469.0,328.0,1.0,17.0,1.0,0.0
67,上海,2020-03-27,486.0,331.0,1.0,17.0,3.0,0.0
68,上海,2020-03-28,493.0,331.0,1.0,7.0,0.0,0.0
69,上海,2020-03-29,499.0,331.0,1.0,6.0,0.0,0.0
70,上海,2020-03-30,510.0,335.0,1.0,11.0,4.0,0.0
71,上海,2020-03-31,517.0,338.0,1.0,7.0,3.0,0.0
72,上海,2020-04-01,523.0,340.0,1.0,6.0,2.0,0.0
73,上海,2020-04-02,527.0,340.0,1.0,4.0,0.0,0.0
74,上海,2020-04-03,530.0,345.0,1.0,3.0,5.0,0.0
75,上海,2020-04-04,532.0,353.0,1.0,2.0,8.0,0.0
76,上海,2020-04-05,537.0,379.0,1.0,5.0,26.0,0.0
77,上海,2020-04-06,539.0,385.0,1.0,2.0,6.0,0.0
78,上海,2020-04-07,544.0,402.0,1.0,5.0,17.0,0.0
