,渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
0,A203,3.69,0.0071,0.0214,2.3071,419.77,0.0258,20,jpg,banner,roi,140*40,打折
1,A387,178.7,0.004,0.0324,2.0489,157.94,0.003,19,jpg,banner,cpc,140*40,满减
2,A388,91.77,0.0022,0.053,1.8771,357.93,0.0026,4,jpg,banner,cpc,140*40,满减
3,A389,1.09,0.0074,0.3382,4.2426,364.07,0.0153,10,jpg,banner,cpc,140*40,满减
4,A390,3.37,0.0028,0.174,2.1934,313.34,0.0007,30,jpg,banner,cpc,140*40,满减
5,A391,0.95,0.0141,0.4155,4.2113,415.56,0.0276,2,jpg,banner,cpc,140*40,满减
6,A392,3.3,0.0028,0.0852,1.7358,155.19,0.0007,4,jpg,banner,cpc,140*40,满减
7,A393,11.91,0.0032,0.0539,2.3751,243.29,0.0032,4,jpg,banner,cpc,140*40,满减
8,A394,49.21,0.0038,0.0448,2.3813,257.53,0.003,6,jpg,banner,cpc,140*40,满减
9,A395,46.31,0.0044,0.0559,2.2621,231.91,0.0029,16,jpg,banner,cpc,140*40,满减
10,A396,125.55,0.0021,0.013000000000000001,2.0766,238.87,0.0018,19,jpg,banner,cpc,140*40,满减
11,A397,115.38,0.002,0.0184,2.0319,205.02,0.0018,8,jpg,banner,cpc,140*40,满减
12,A398,12.71,0.0008,0.0188,2.0617,228.4,0.0024,21,jpg,banner,cpc,140*40,满减
13,A399,0.74,0.0,0.0125,1.425,152.1,0.0,14,jpg,banner,cpc,140*40,满减
14,A400,408.42,0.0015,0.0117,1.9114,172.92,0.0025,9,jpg,banner,cpc,140*40,满减
15,A401,13.52,0.0021,0.0141,1.8211,176.53,0.0025,15,jpg,banner,cpc,140*40,满减
16,A402,1.53,0.0128,0.0128,1.6603,222.31,0.0047,12,jpg,banner,cpc,140*40,满减
17,A403,2.32,0.0,0.0042,1.9789,267.97,0.0,30,jpg,banner,cpc,140*40,满减
18,A404,20.6,0.0009,0.013999999999999999,1.7237,245.72,0.0016,11,jpg,banner,cpc,140*40,满减
19,A405,31.84,0.0015,0.0132,1.6553,227.03,0.0012,22,jpg,banner,cpc,140*40,满减
20,A406,30.74,0.0031,0.0103,1.6126,273.09,0.0027,14,jpg,banner,cpc,140*40,满减
21,A407,87.57,0.0014,0.0094,1.7953,170.74,0.0026,13,jpg,banner,cpc,140*40,满减
22,A408,155.81,0.0016,0.0122,1.8087,165.21,0.0026,9,jpg,banner,cpc,140*40,满减
23,A409,1.42,0.0,0.0133,1.5467,195.21,0.0017,19,jpg,banner,cpc,140*40,满减
24,A410,471.3,0.0021,0.0115,1.7931,172.97,0.0026,30,jpg,banner,cpc,140*40,满减
25,A411,397.16,0.002,0.0105,2.3973,244.97,0.0026,23,jpg,banner,cpc,140*40,满减
26,A412,0.73,0.0,0.012,2.0843,266.12,0.0,18,jpg,banner,cpc,140*40,满减
27,A413,56.99,0.0029,0.0124,1.8223,158.79,0.0024,5,jpg,banner,cpc,140*40,满减
28,A414,2699.42,0.006,0.0799,3.8914,362.45,0.0089,18,jpg,banner,cpc,140*40,满减
29,A415,1.26,0.0,0.0152,1.8485,103.7,0.0,12,jpg,banner,cpc,140*40,满减
30,A416,0.97,0.0096,0.0288,2.1058,263.03,0.0025,25,jpg,banner,cpc,140*40,满减
31,A417,51.47,0.0036,0.009000000000000001,1.4805,177.47,0.0041,29,jpg,banner,cpc,140*40,满减
32,A418,396.72,0.0027,0.0091,1.5081,154.08,0.0031,27,jpg,banner,cpc,140*40,满减
33,A419,120.11,0.0042,0.0095,1.4805,161.68,0.0034,27,jpg,banner,cpc,140*40,满减
34,A420,162.44,0.0012,0.0094,1.6565,111.44,0.0013,23,jpg,banner,cpc,140*40,满减
35,A421,18.11,0.0016,0.0065,1.8496,126.2,0.0024,30,jpg,banner,cpc,140*40,满减
36,A422,3282.76,0.0024,0.0082,2.3239,247.37,0.0029,21,jpg,banner,cpc,140*40,满减
37,A423,3.02,0.0,0.0062,2.3292,319.37,0.0063,18,jpg,banner,cpc,140*40,满减
38,A424,2687.24,0.0037,0.009000000000000001,2.4957,244.23,0.0049,28,jpg,banner,cpc,140*40,满减
39,A425,148.06,0.0063,0.0226,3.4601,346.18,0.0115,7,jpg,banner,cpc,140*40,满减
40,A426,975.09,0.0044,0.0109,2.4405,221.94,0.0065,26,jpg,banner,cpc,140*40,满减
41,A427,1.78,0.0053,0.0107,2.2299,258.69,0.004,23,jpg,banner,cpc,140*40,满减
42,A428,1.02,0.0,0.019,1.9143,383.9,0.0,5,jpg,banner,cpc,140*40,满减
43,A429,0.72,0.0,0.0,1.8182,452.26,0.0,13,jpg,banner,cpc,140*40,满减
44,A430,1.41,0.0067,0.0201,1.7517,353.21,0.0,12,jpg,banner,cpc,140*40,满减
45,A431,408.62,0.0033,0.0183,2.9112,300.89,0.0056,30,jpg,banner,cpc,140*40,满减
46,A432,26.0,0.0041,0.0075,1.5792,224.96,0.0017,2,jpg,banner,cpc,140*40,满减
47,A433,5.37,0.0018,0.018000000000000002,1.9928,181.93,0.0049,15,jpg,banner,cpc,140*40,满减
48,A434,131.25,0.004,0.0082,2.0127,235.72,0.0072,6,jpg,banner,cpc,140*40,满减
49,A435,1021.84,0.0012,0.0085,2.0031,191.94,0.0014,13,jpg,banner,cpc,308*388,满减
50,A436,1.45,0.0,0.0,1.8649,183.42,0.0016,14,jpg,banner,cpc,308*388,满减
51,A437,397.25,0.004,0.0174,2.7874,292.63,0.0029,8,jpg,banner,cpc,308*388,满减
52,A438,158.33,0.0035,0.0138,2.5696,296.33,0.0023,1,jpg,banner,cpc,308*388,满减
53,A439,1.34,0.0,0.0,1.3037,233.04,0.0,24,jpg,banner,cpc,308*388,满减
54,A440,3.89,0.0024,0.0048,2.2153,448.55,0.0043,19,jpg,banner,cpc,308*388,满减
55,A441,4.22,0.0,0.0184,1.8782,218.95,0.0011,7,jpg,banner,cpc,308*388,满减
56,A442,1.13,0.0,0.0168,1.8487,328.79,0.0,25,jpg,banner,cpc,308*388,满减
57,A443,62.11,0.0002,0.0107,1.8414,187.24,0.0015,12,jpg,banner,cpc,308*388,满减
58,A444,434.67,0.0012,0.0119,2.6377,227.92,0.0017,12,jpg,banner,cpc,308*388,满减
59,A445,5.12,0.0076,0.017,2.2231,245.51,0.0005,19,jpg,banner,cpc,308*388,满减
60,A446,1.23,0.0391,0.0,2.1172,451.57,0.0039,14,jpg,banner,cpc,308*388,满减
61,A447,0.85,0.0,0.0115,2.2414,321.12,0.0168,27,jpg,banner,cpc,308*388,满减
62,A448,351.81,0.0028,0.0102,2.5722,258.83,0.0044,11,jpg,banner,cpc,308*388,满减
63,A449,28.28,0.0014,0.0038,2.52,245.31,0.0017,6,jpg,banner,cpc,308*388,满减
64,A450,216.24,0.0019,0.0106,2.3688,205.55,0.0012,27,jpg,banner,cpc,308*388,满减
65,A451,37.56,0.0015,0.0159,2.265,238.15,0.0058,9,jpg,banner,cpc,308*388,满减
66,A452,166.28,0.0034,0.0057,2.6545,246.89,0.0029,15,jpg,banner,cpc,308*388,满减
67,A453,0.75,0.0,0.0,1.4026,137.35,0.0,17,jpg,banner,cpc,308*388,满减
68,A454,1.97,0.005,0.0,1.7525,196.86,0.0012,24,jpg,banner,cpc,308*388,满减
69,A455,4.44,0.0,0.0,1.3474,507.23,0.0005,23,jpg,banner,cpc,308*388,满减
70,A456,31.71,0.0003,0.0006,1.0971,263.7,0.0001,15,jpg,banner,cpc,308*388,满减
71,A457,127.05,0.0006,0.0029,1.2228,171.44,0.0003,5,jpg,banner,cpc,308*388,满减
72,A458,8.99,0.0,0.0033,1.4880000000000002,170.9,0.0005,4,jpg,banner,cpc,308*388,满减
73,A459,7.75,0.0,0.0013,1.0772,403.79,0.0,5,jpg,banner,cpc,308*388,满减
74,A460,239.05,0.0007,0.0017,1.1348,306.17,0.0004,25,jpg,banner,cpc,308*388,满减
75,A461,230.14,0.0,0.0018,1.0898,272.55,0.0001,17,jpg,banner,cpc,308*388,满减
76,A462,8.28,0.0,0.0036,1.0597,232.46,0.0006,4,jpg,banner,cpc,308*388,满减
77,A463,16.76,0.0006,0.0,1.1097,348.37,0.0,17,jpg,banner,cpc,308*388,满减
78,A464,2.42,0.0,0.0041,1.0531,178.38,0.0,5,jpg,banner,cpc,308*388,满减
79,A465,7.34,0.0,0.0067,1.1566,333.67,0.0003,18,jpg,banner,cpc,308*388,满减
80,A466,1.57,0.0,0.0,1.6164,193.02,0.0,27,jpg,banner,cpc,308*388,满减
81,A467,1.38,0.0,0.0,2.0719,197.82,0.0,2,jpg,banner,cpc,308*388,满减
82,A468,54.69,0.0027,0.0014,2.2761,216.27,0.0015,26,jpg,banner,cpc,308*388,满减
83,A469,1.65,0.0172,0.0057,2.4023,252.81,0.0029,4,jpg,banner,cpc,308*388,满减
84,A470,23.52,0.005,0.0021,2.5657,188.77,0.0014,13,jpg,banner,cpc,308*388,满减
85,A471,64.87,0.0015,0.0134,2.2853,248.46,0.0015,24,jpg,banner,cpc,308*388,满减
86,A472,5.76,0.0,0.0085,1.6576,101.15,0.0025,29,jpg,banner,cpc,308*388,满减
87,A473,15.28,0.0049,0.0339,2.5675,291.15,0.0067,14,jpg,banner,cpc,308*388,满减
88,A474,50.49,0.0041,0.0285,2.7619,207.25,0.0033,26,jpg,banner,cpc,308*388,满减
89,A475,0.96,0.01,0.03,2.32,183.64,0.0,19,jpg,banner,cpc,308*388,满减
90,A476,0.72,0.0,0.0676,1.8378,256.22,0.0066,22,jpg,banner,cpc,308*388,满减
91,A477,48.73,0.0016,0.0116,1.8536,155.87,0.0024,16,jpg,banner,cpc,308*388,满减
92,A478,207.03,0.0019,0.01,1.9715,153.84,0.0024,4,jpg,banner,cpc,308*388,满减
93,A479,1.1,0.0,0.0179,1.7143,237.55,0.0,9,jpg,banner,cpc,308*388,满减
94,A480,1.89,0.0,0.0206,1.9845,199.78,0.0025,4,jpg,banner,cpc,308*388,满减
95,A481,1.94,0.0,0.0,1.3969,103.57,0.0,19,jpg,banner,cpc,308*388,满减
96,A482,0.75,0.0,0.0132,1.8158,69.0,0.0,22,jpg,banner,cpc,308*388,满减
97,A483,35.67,0.0019,0.0067,2.181,240.52,0.0027,1,jpg,banner,cpc,308*388,满减
98,A484,170.53,0.0006,0.0035,1.4886,215.68,0.0009,27,jpg,banner,cpc,308*388,满减
99,A485,0.99,0.0,0.0,2.5882,207.3,0.0072,29,jpg,banner,cpc,308*388,满减
100,A486,39.95,0.0059,0.0168,3.3213,331.23,0.0073,19,jpg,banner,cpc,308*388,满减
101,A487,3.92,0.0,0.0148,2.6576,257.91,0.0097,13,jpg,banner,cpc,308*388,满减
102,A488,178.82,0.0,0.0018,1.3158,226.92,0.0,23,jpg,banner,cpc,308*388,满减
103,A489,1.66,0.0056,0.0056,2.9333,406.77,0.0057,20,jpg,banner,cpc,308*388,满减
104,A490,0.72,0.0,0.0,1.0685,162.25,0.0,18,jpg,banner,cpc,308*388,满减
105,A491,27.05,0.003,0.01,3.0344,303.63,0.0048,11,jpg,banner,cpc,308*388,满减
106,A492,883.28,0.0,0.0017,1.3782,234.83,0.0001,26,jpg,banner,cpc,308*388,满减
107,A493,9.94,0.0039,0.0088,2.7251,276.92,0.0034,4,jpg,banner,cpc,308*388,满减
108,A494,60.51,0.0038,0.0081,2.0799,250.96,0.0076,5,jpg,banner,cpc,308*388,满减
109,A495,4.67,0.0,0.0021,1.605,160.15,0.001,9,jpg,banner,cpc,308*388,满减
110,A496,115.65,0.0021,0.0088,2.2557,161.46,0.0022,10,jpg,banner,cpc,308*388,满减
111,A497,3.66,0.0026,0.0053,2.2381,445.52,0.0065,13,jpg,banner,cpc,308*388,满减
