R,F,M
652,1,499
886,1,49
680,1,1499
710,1,1700
807,1,898
805,1,14488
787,1,89
658,1,368
757,1,1339
650,2,13996
930,1,3299
765,1,3200
876,1,426
783,1,29
891,1,49
731,1,49
726,1,45
807,1,109
926,3,152.8
736,1,999
681,1,2299
629,1,11
772,1,79
818,1,699
635,1,3199
858,1,269
853,1,299
773,1,698
798,1,479.7
631,1,49
609,1,9.9
860,1,169
609,1,24.9
853,1,3168
896,1,99
929,1,96
950,1,3668
930,1,3599
935,1,1699
681,1,989
803,1,217.8
737,1,179
685,1,96
685,1,78
748,1,69
895,1,2037
748,1,96
615,1,29
900,10,18598.7
886,1,4999
707,1,95
696,1,9.9
614,1,369
692,1,428
741,1,55
764,1,107.9
829,1,60
858,1,178
678,1,29.9
629,1,49
861,1,49
754,1,39
862,1,299
807,1,109
753,1,2666
809,1,729
627,1,105.6
775,1,3889
862,1,39.9
724,2,36.9
922,3,8745
696,1,48
825,16,8690.9
684,1,49
726,1,99
923,1,1478
939,1,199
770,1,29
706,1,156
720,1,139
684,1,96
745,1,1699
753,1,59
788,1,19
790,1,96
610,1,95
666,1,89
655,1,39
896,1,1
625,1,78
663,1,3812
788,1,928
782,1,69
762,1,99
797,1,3799
816,1,6999
652,1,19
784,1,99
770,1,39
702,5,740.5
900,1,699
799,1,2088
749,1,4298
648,1,445
917,4,891
868,1,109
612,1,199
654,1,9.9
618,1,1248
626,2,158.9
737,1,89
787,1,29
888,1,204
719,1,89
698,1,12666
714,2,318
928,3,1908.1
926,1,299
663,1,338
791,1,2666
661,2,1528
678,1,1398
609,1,39
614,1,376
656,1,2699
611,1,4499
744,1,72
747,1,10
645,1,87
653,1,39
609,1,1279
897,1,69
634,1,10.1
645,1,1398
788,1,118
644,1,2088
879,1,3676
815,1,89
897,1,479.7
886,1,3599
716,1,1480
916,4,2044.9
737,1,11
622,1,2199
887,1,28
662,1,349
726,1,199
716,1,5
947,1,79
712,1,49
743,2,2198
686,2,1914
899,1,401
781,1,3588
767,1,447
699,1,48.5
756,1,99
897,1,89
734,1,496
757,1,999
699,2,175
681,1,1298
768,1,99
957,1,6990
940,1,1799
922,1,54
727,1,21287
655,2,19.8
858,1,1
853,1,3698
677,1,349
797,1,49
853,1,1495
869,1,104
705,1,39
964,1,49
869,1,95
630,1,3699
700,1,299
726,1,198
730,1,479.7
767,1,478
736,1,95
621,1,96
700,1,469
688,1,42.9
926,3,6898
661,1,239
880,1,4166
897,1,198
611,1,69
694,1,49.3
650,1,1488
628,1,89
705,2,191
667,11,7238.7
666,1,6999
874,1,179
921,4,753.9
731,1,1
677,2,4227.9
809,1,49.7
895,1,699
762,1,8488
779,1,58
709,1,213
696,2,10560
924,3,2197.5
741,2,3557
699,1,179
773,1,44
759,2,138
692,1,129.9
896,1,109
742,1,158
660,1,19
802,1,2666
719,1,49
755,1,4399
683,1,2799
619,9,6875.9
954,1,109
937,1,9.9
920,1,250
664,1,419
659,1,2380
785,1,475
764,1,599
780,1,89
691,1,28.9
858,1,10.1
660,2,255
697,1,98
791,1,998
925,3,5735
758,1,118
809,1,899
923,1,96
928,1,10.1
780,1,368
691,1,39
741,1,224.7
621,1,99
846,1,3199
886,1,99
822,1,547
740,1,198
829,1,799
917,4,4233
648,1,19.9
876,1,289
660,2,629.8
760,1,99
925,1,799
721,1,65
661,1,9.9
748,1,65
778,1,1699
864,1,1499
704,1,3399
821,1,3196
625,1,89
863,2,5098
753,1,889
759,1,39.9
614,1,29
726,7,294.9
806,1,98
645,4,581.8
808,1,406
762,1,69
802,2,165
798,1,787
609,4,2285
779,1,35.9
899,1,69.9
645,1,49
798,1,4199
654,1,95
734,1,359
696,1,3588
609,1,99
864,1,199.4
825,16,7634
863,1,55
864,1,799.5
709,1,199
960,1,339
942,1,89
925,1,6.9
925,3,2396.9
612,1,33.8
725,1,199
656,1,88
668,9,5107.9
